id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0001692,2001692,  1692 Subbotina (1936 QD),1692,Subbotina,,N,N,11.3,36.075,0.049,0.38,JPL 36,2459000.5,59000,20200531,J2000,0.137822898,2.786617957,2.402558195,2.426521629,199.5936336,111.6254599,14.75316159,3.170677718,0.211879006,2458930.87,20200322.37,1699.082919,4.651835507,1.38961,540.7945237,3.26E-08,9.87E-09,9.31E-08,3.49E-06,8.11E-05,8.20E-05,1.32E-05,1.12E-08,1.13E-09,6.23E-05,9.03E-06,MBA,0.45894
a0001693,2001693,  1693 Hertzsprung (1935 LA),1693,Hertzsprung,,N,N,11.2,37.772,0.051,0.32,JPL 37,2459000.5,59000,20200531,J2000,0.273791368,2.796052851,2.030517716,11.93901203,69.98522644,234.7344625,15.22139625,3.561587985,0.210807477,2458928.295,20200319.79,1707.719317,4.675480677,1.04156,405.3439052,3.72E-08,1.23E-08,1.07E-07,4.08E-06,2.08E-05,2.22E-05,1.10E-05,1.56E-08,1.39E-09,5.20E-05,1.12E-05,MBA,0.43996
a0001694,2001694,  1694 Kaiser (1934 SB),1694,Kaiser,,N,N,12.6,15.678,0.166,0.175,JPL 37,2459000.5,59000,20200531,J2000,0.256800646,2.395882191,1.780618098,11.08537261,13.34999774,356.3229186,30.83064797,3.011146285,0.265769956,2458884.495,20200204.99,1354.554913,3.708569236,0.780586,303.7806536,4.00E-08,6.74E-09,9.66E-08,4.56E-06,2.10E-05,2.25E-05,1.01E-05,8.47E-09,1.12E-09,3.78E-05,5.71E-06,MBA,0.36721
a0001695,2001695,  1695 Walbeck (1941 UO),1695,Walbeck,,N,N,12.5,18.953,0.042,0.258,32,2459000.5,59000,20200531,J2000,0.289188796,2.783944577,1.978858997,16.68301265,218.4098533,139.2860061,353.9894273,3.589030156,0.212184276,2459028.827,20200628.33,1696.638448,4.645142909,1.00643,391.6723631,4.26E-08,1.00E-08,1.20E-07,4.62E-06,1.27E-05,1.45E-05,8.02E-06,1.29E-08,1.15E-09,3.79E-05,9.18E-06,MBA,0.46651
a0001696,2001696,  1696 Nurmela (1939 FF),1696,Nurmela,,N,N,12.9,9.232,0.155,0.181,JPL 40,2459000.5,59000,20200531,J2000,0.097981969,2.261976781,2.040343841,6.036209309,21.02542953,164.7481324,308.664588,2.483609721,0.289715586,2459177.692,20201124.19,1242.597973,3.402047839,1.04192,405.4840064,3.78E-08,6.03E-09,8.60E-08,3.92E-06,3.17E-05,3.59E-05,1.76E-05,6.63E-09,1.16E-09,6.09E-05,4.97E-06,MBA,0.37942
a0001697,2001697,  1697 Koskenniemi (1940 RM),1697,Koskenniemi,,N,N,12.9,11.245,0.116,0.212,JPL 29,2459000.5,59000,20200531,J2000,0.116592157,2.375714278,2.098724627,5.659080409,331.6143531,91.26728963,229.7440492,2.65270393,0.26916139,2459484.433,20210926.93,1337.487521,3.661841262,1.12085,436.2011945,3.06E-08,6.71E-09,7.25E-08,4.41E-06,3.43E-05,4.04E-05,2.05E-05,7.49E-09,1.14E-09,7.66E-05,5.66E-06,MBA,0.43224
a0001698,2001698,  1698 Christophe (1934 CS),1698,Christophe,,N,N,11.3,26.234,0.085,0.179,JPL 40,2459000.5,59000,20200531,J2000,0.102383178,3.174034208,2.849066498,1.492891218,27.04430397,131.0524381,117.1952265,3.499001918,0.174295699,2458328.107,20180728.61,2065.455447,5.654908822,1.85847,723.2607699,3.39E-08,1.32E-08,1.09E-07,4.07E-06,0.00011619,0.00011745,1.66E-05,1.46E-08,1.09E-09,9.63E-05,1.29E-05,MBA,0.44381
a0001699,2001699,  1699 Honkasalo (1941 QD),1699,Honkasalo,,N,N,12.4,8.345,0.277,0.058,25,2459000.5,59000,20200531,J2000,0.165716924,2.211474295,1.844995578,1.971567783,273.532447,51.52720618,356.5600931,2.577953013,0.299696196,2459011.978,20200611.48,1201.216449,3.2887514,0.833731,324.4630933,3.29E-08,6.14E-09,7.23E-08,3.60E-06,0.0001112,0.00011198,1.65E-05,7.16E-09,1.25E-09,5.50E-05,5.01E-06,MBA,0.42316
a0001700,2001700,  1700 Zvezdara (1940 QC),1700,Zvezdara,,N,N,12.4,20.176,0.045,0.209,JPL 31,2459000.5,59000,20200531,J2000,0.224799064,2.361209566,1.830411865,4.512713391,356.8718292,15.28615515,332.3744646,2.892007268,0.271645348,2459102.197,20200909.7,1325.25737,3.628356933,0.830923,323.3703039,3.54E-08,6.72E-09,8.45E-08,4.11E-06,4.55E-05,4.64E-05,1.21E-05,8.23E-09,1.16E-09,4.49E-05,5.66E-06,MBA,0.42777
a0001701,2001701,  1701 Okavango (1953 NJ),1701,Okavango,,N,N,10.7,19.461,0.217,0.129,JPL 32,2459000.5,59000,20200531,J2000,0.192505485,3.161171104,2.552628328,16.27738383,61.26029907,260.0245477,272.9653488,3.76971388,0.175360619,2459496.818,20211009.32,2052.912467,5.620568013,1.60216,623.5126072,3.85E-08,1.57E-08,1.24E-07,4.32E-06,1.59E-05,2.07E-05,1.68E-05,1.87E-08,1.30E-09,9.75E-05,1.53E-05,MBA,0.42144
a0001702,2001702,  1702 Kalahari (A924 NC),1702,Kalahari,,N,N,11.1,34.645,0.065,0.132,JPL 74,2459000.5,59000,20200531,J2000,0.144156703,2.856185236,2.44444699,9.965857163,103.8762778,241.8740103,272.4924467,3.267923482,0.204185322,2459429.069,20210802.57,1763.104207,4.827116242,1.45516,566.3046172,3.72E-08,1.20E-08,1.10E-07,3.70E-06,2.35E-05,2.66E-05,1.39E-05,1.37E-08,1.28E-09,6.92E-05,1.11E-05,MBA,0.41438
a0001703,2001703,  1703 Barry (1930 RB),1703,Barry,,N,N,12.1,9.211,0.33,0.485,JPL 35,2459000.5,59000,20200531,J2000,0.171506528,2.214912632,1.835040656,4.520375873,112.2564016,213.368764,94.18071647,2.594784608,0.298998613,2458685.513,20190721.01,1204.018963,3.296424265,0.824918,321.0333381,3.17E-08,4.42E-09,6.99E-08,3.04E-06,5.09E-05,5.20E-05,1.07E-05,5.18E-09,8.96E-10,3.57E-05,3.61E-06,MBA,0.43556
a0001704,2001704,  1704 Wachmann (A924 EE),1704,Wachmann,,N,N,13,6.618,0.193,0.07,JPL 26,2459000.5,59000,20200531,J2000,0.086555089,2.222733316,2.030344437,0.971614525,259.4556833,280.7576204,4.459086497,2.415122195,0.297421963,2458985.508,20200516.01,1210.401534,3.313898793,1.03342,402.1760614,3.29E-08,4.73E-09,7.37E-08,2.93E-06,0.00019632,0.0001971,1.68E-05,5.14E-09,9.49E-10,5.64E-05,3.86E-06,MBA,0.42934
a0001705,2001705,  1705 Tapio (1941 SL1),1705,Tapio,,N,N,13.3,11.969,0.059,0.077,JPL 36,2459000.5,59000,20200531,J2000,0.245416349,2.298840006,1.734667084,7.710029135,188.5978498,156.4559295,218.3260958,2.863012927,0.282774963,2459501.513,20211014.01,1273.097152,3.485550038,0.731128,284.5330838,3.49E-08,6.66E-09,7.97E-08,3.74E-06,2.57E-05,2.67E-05,9.21E-06,8.29E-09,1.23E-09,3.37E-05,5.53E-06,MBA,0.46721
a0001706,2001706,  1706 Dieckvoss (1931 TS),1706,Dieckvoss,,N,N,13,6.111,0.359,0.105,JPL 39,2459000.5,59000,20200531,J2000,0.114589467,2.125281163,1.881746327,1.876209344,279.717888,339.4568572,314.9055526,2.368815998,0.318111584,2459142.257,20201019.76,1131.678373,3.098366523,0.866571,337.2434361,3.97E-08,5.58E-09,8.74E-08,3.06E-06,0.00011599,0.00011724,1.89E-05,6.22E-09,1.25E-09,5.99E-05,4.46E-06,MBA,0.44134
a0001707,2001707,  1707 Chantal (1932 RL),1707,Chantal,,N,N,12.6,7.459,0.306,0.114,JPL 28,2459000.5,59000,20200531,J2000,0.171242695,2.21849376,1.838592909,4.031998945,6.10804085,42.89500818,157.3083596,2.598394611,0.298274933,2458473.106,20181220.61,1206.940176,3.304422111,0.850901,331.1451422,3.25E-08,4.32E-09,7.21E-08,3.86E-06,4.29E-05,4.40E-05,9.42E-06,5.06E-09,8.71E-10,3.13E-05,3.52E-06,MBA,0.41273
a0001708,2001708,  1708 Polit (1929 XA),1708,Polit,,N,N,11.8,28.706,0.042,0.057,JPL 34,2459000.5,59000,20200531,J2000,0.307655564,2.912038589,2.016133714,6.044145002,192.2028209,248.8529891,51.91730907,3.807943463,0.198339122,2458738.74,20190912.24,1815.073079,4.969399258,1.04105,405.1454285,3.90E-08,8.47E-09,1.14E-07,3.76E-06,4.33E-05,4.39E-05,7.22E-06,1.11E-08,8.66E-10,3.63E-05,7.92E-06,MBA,0.43542
a0001709,2001709,  1709 Ukraina (1925 QA),1709,Ukraina,,N,N,12.4,9.444,0.196,1.398,JPL 33,2459000.5,59000,20200531,J2000,0.214098005,2.378420479,1.8692054,7.556963269,300.0676476,42.45091371,291.4704302,2.887635557,0.268702137,2459255.539,20210210.04,1339.77349,3.668099905,0.868419,337.9626222,3.71E-08,6.31E-09,8.71E-08,3.48E-06,2.89E-05,3.00E-05,1.04E-05,7.66E-09,1.07E-09,3.93E-05,5.33E-06,MBA,0.39451
a0001710,2001710,  1710 Gothard (1941 UF),1710,Gothard,,N,N,13.6,9.838,0.087,0.179,JPL 37,2459000.5,59000,20200531,J2000,0.267992583,2.321925071,1.699666374,8.46526857,356.5619387,336.0457903,123.3592644,2.944183768,0.27856835,2458557.667,20190315.17,1292.321972,3.538184728,0.693983,270.0773641,4.40E-08,6.22E-09,1.03E-07,4.85E-06,2.29E-05,2.37E-05,6.83E-06,7.88E-09,1.12E-09,2.37E-05,5.19E-06,MBA,0.47086
a0001711,2001711,  1711 Sandrine (1935 BB),1711,Sandrine,,N,N,10.9,22.929,0.133,0.364,JPL 35,2459000.5,59000,20200531,J2000,0.115166199,3.010993162,2.664228524,11.0986082,134.7749788,250.8429111,194.6324044,3.357757801,0.188642446,2459877.119,20221024.62,1908.372197,5.224838323,1.69236,658.6157412,3.62E-08,1.28E-08,1.08E-07,3.65E-06,2.10E-05,2.61E-05,1.66E-05,1.43E-08,1.21E-09,9.00E-05,1.22E-05,MBA,0.42182
a0001712,2001712,  1712 Angola (1935 KC),1712,Angola,,N,N,10.1,66.892,0.029,0.298,JPL 43,2459000.5,59000,20200531,J2000,0.153677955,3.166790563,2.680124665,19.38874978,237.6063676,18.338556,5.27953967,3.653456462,0.17489406,2458970.313,20200430.81,2058.388942,5.635561784,1.67226,650.7934242,3.51E-08,1.52E-08,1.18E-07,3.80E-06,1.28E-05,1.94E-05,1.60E-05,1.76E-08,1.26E-09,9.15E-05,1.48E-05,MBA,0.43453
